algorithm,input_order,size,run,seed,time_ms,peak_memory_kib
merge,sorted,1000,1,100413,1.2517,8.83203125
heap,sorted,1000,1,100413,3.1445,0.58984375
quick,sorted,1000,1,100413,1.3595,1.2578125
python,sorted,1000,1,100413,0.0639,7.8125
merge,random,1000,1,100413,1.6777,8.83203125
heap,random,1000,1,100413,2.303,0.58984375
quick,random,1000,1,100413,2.0918,1.0546875
python,random,1000,1,100413,0.2879,15.546875
merge,reverse,1000,1,100413,1.4213,8.83203125
heap,reverse,1000,1,100413,2.1427,0.58984375
quick,reverse,1000,1,100413,1.3701,1.2265625
python,reverse,1000,1,100413,0.2335,15.5625
merge,sorted,1000,2,100414,1.288,8.83203125
heap,sorted,1000,2,100414,2.8063,0.58984375
quick,sorted,1000,2,100414,1.2355,1.2578125
python,sorted,1000,2,100414,0.069,7.8125
merge,random,1000,2,100414,1.7056,8.83203125
heap,random,1000,2,100414,2.3116,0.58984375
quick,random,1000,2,100414,2.355,1.0859375
python,random,1000,2,100414,0.3106,15.546875
merge,reverse,1000,2,100414,1.4881,8.83203125
heap,reverse,1000,2,100414,2.6171,0.58984375
quick,reverse,1000,2,100414,1.4164,1.2265625
python,reverse,1000,2,100414,0.2242,15.5625
merge,sorted,1000,3,100415,1.2652,8.83203125
heap,sorted,1000,3,100415,2.7773,0.58984375
quick,sorted,1000,3,100415,1.2664,1.2578125
python,sorted,1000,3,100415,0.07,7.8125
merge,random,1000,3,100415,2.8438,8.83203125
heap,random,1000,3,100415,2.893,0.58984375
quick,random,1000,3,100415,1.6914,0.9765625
python,random,1000,3,100415,0.3689,15.5625
merge,reverse,1000,3,100415,1.3906,8.83203125
heap,reverse,1000,3,100415,2.4586,0.58984375
quick,reverse,1000,3,100415,1.3289,1.2265625
python,reverse,1000,3,100415,0.2451,15.5625
merge,sorted,1000,4,100416,1.2301,8.83203125
heap,sorted,1000,4,100416,2.4378,0.58984375
quick,sorted,1000,4,100416,1.1861,1.2578125
python,sorted,1000,4,100416,0.0645,7.8125
merge,random,1000,4,100416,2.3185,8.83203125
heap,random,1000,4,100416,2.3767,0.58984375
quick,random,1000,4,100416,1.6299,1.0234375
python,random,1000,4,100416,0.3593,15.546875
merge,reverse,1000,4,100416,1.3351,8.83203125
heap,reverse,1000,4,100416,2.2359,0.58984375
quick,reverse,1000,4,100416,2.5032,1.2265625
python,reverse,1000,4,100416,0.2326,15.5625
merge,sorted,1000,5,100417,1.5424,8.83203125
heap,sorted,1000,5,100417,2.8678,0.58984375
quick,sorted,1000,5,100417,1.8725,1.2578125
python,sorted,1000,5,100417,0.0647,7.8125
merge,random,1000,5,100417,1.6272,8.83203125
heap,random,1000,5,100417,2.4347,0.58984375
quick,random,1000,5,100417,1.472,0.9375
python,random,1000,5,100417,0.3106,15.546875
merge,reverse,1000,5,100417,1.2519,8.83203125
heap,reverse,1000,5,100417,2.1488,0.58984375
quick,reverse,1000,5,100417,1.6098,1.2265625
python,reverse,1000,5,100417,0.1995,15.5625
merge,sorted,5000,1,500413,10.8931,40.17578125
heap,sorted,5000,1,500413,20.2389,0.58984375
quick,sorted,5000,1,500413,10.4354,1.4921875
python,sorted,5000,1,500413,0.6232,39.0625
merge,random,5000,1,500413,11.7311,40.17578125
heap,random,5000,1,500413,17.0879,0.58984375
quick,random,5000,1,500413,12.218,1.203125
python,random,5000,1,500413,1.8648,77.8125
merge,reverse,5000,1,500413,9.1244,40.17578125
heap,reverse,5000,1,500413,16.7108,0.58984375
quick,reverse,5000,1,500413,9.7233,1.40625
python,reverse,5000,1,500413,1.3059,77.8125
merge,sorted,5000,2,500414,9.3732,40.17578125
heap,sorted,5000,2,500414,20.2433,0.58984375
quick,sorted,5000,2,500414,10.1683,1.4921875
python,sorted,5000,2,500414,0.4803,39.0625
merge,random,5000,2,500414,12.5326,40.17578125
heap,random,5000,2,500414,18.3682,0.58984375
quick,random,5000,2,500414,9.994,1.15625
python,random,5000,2,500414,2.7037,77.78125
merge,reverse,5000,2,500414,8.6315,40.17578125
heap,reverse,5000,2,500414,18.0114,0.58984375
quick,reverse,5000,2,500414,12.4814,1.40625
python,reverse,5000,2,500414,1.4919,77.8125
merge,sorted,5000,3,500415,9.5416,40.17578125
heap,sorted,5000,3,500415,21.743,0.58984375
quick,sorted,5000,3,500415,9.4612,1.4921875
python,sorted,5000,3,500415,0.8276,39.0625
merge,random,5000,3,500415,13.1063,40.17578125
heap,random,5000,3,500415,17.5505,0.58984375
quick,random,5000,3,500415,12.2715,1.140625
python,random,5000,3,500415,2.2309,77.765625
merge,reverse,5000,3,500415,10.5112,40.17578125
heap,reverse,5000,3,500415,16.3814,0.58984375
quick,reverse,5000,3,500415,10.4861,1.40625
python,reverse,5000,3,500415,1.1446,77.8125
merge,sorted,5000,4,500416,10.205,40.17578125
heap,sorted,5000,4,500416,20.5135,0.58984375
quick,sorted,5000,4,500416,9.2091,1.4921875
python,sorted,5000,4,500416,0.914,39.0625
merge,random,5000,4,500416,14.7064,40.17578125
heap,random,5000,4,500416,21.3828,0.58984375
quick,random,5000,4,500416,8.4831,1.15625
python,random,5000,4,500416,2.0732,77.8125
merge,reverse,5000,4,500416,10.5199,40.17578125
heap,reverse,5000,4,500416,16.4122,0.58984375
quick,reverse,5000,4,500416,11.9728,1.40625
python,reverse,5000,4,500416,1.4197,77.8125
merge,sorted,5000,5,500417,10.2101,40.17578125
heap,sorted,5000,5,500417,19.0543,0.58984375
quick,sorted,5000,5,500417,8.8198,1.4921875
python,sorted,5000,5,500417,0.7976,39.0625
merge,random,5000,5,500417,14.0659,40.17578125
heap,random,5000,5,500417,19.8297,0.58984375
quick,random,5000,5,500417,9.2962,1.171875
python,random,5000,5,500417,2.2123,77.8125
merge,reverse,5000,5,500417,10.0939,40.17578125
heap,reverse,5000,5,500417,18.0368,0.58984375
quick,reverse,5000,5,500417,9.663,1.40625
python,reverse,5000,5,500417,1.5819,77.8125
merge,sorted,10000,1,1000413,23.3531,79.26953125
heap,sorted,10000,1,1000413,44.812,0.58984375
quick,sorted,10000,1,1000413,21.7618,1.46875
python,sorted,10000,1,1000413,2.1013,78.125
merge,random,10000,1,1000413,35.4042,79.26953125
heap,random,10000,1,1000413,48.0968,0.58984375
quick,random,10000,1,1000413,23.0099,1.15625
python,random,10000,1,1000413,5.127,156.1875
merge,reverse,10000,1,1000413,22.9547,79.26953125
heap,reverse,10000,1,1000413,47.8428,0.58984375
quick,reverse,10000,1,1000413,28.2894,1.46875
python,reverse,10000,1,1000413,2.7935,156.25
merge,sorted,10000,2,1000414,25.9824,79.26953125
heap,sorted,10000,2,1000414,50.0457,0.58984375
quick,sorted,10000,2,1000414,22.1012,1.46875
python,sorted,10000,2,1000414,2.114,78.125
merge,random,10000,2,1000414,33.8631,79.26953125
heap,random,10000,2,1000414,49.0761,0.58984375
quick,random,10000,2,1000414,25.6502,1.171875
python,random,10000,2,1000414,6.4593,156.125
merge,reverse,10000,2,1000414,28.6642,79.26953125
heap,reverse,10000,2,1000414,48.1781,0.58984375
quick,reverse,10000,2,1000414,29.5196,1.46875
python,reverse,10000,2,1000414,4.1823,156.25
merge,sorted,10000,3,1000415,24.7928,79.26953125
heap,sorted,10000,3,1000415,53.298,0.58984375
quick,sorted,10000,3,1000415,20.465,1.46875
python,sorted,10000,3,1000415,2.5913,78.125
merge,random,10000,3,1000415,38.9571,79.26953125
heap,random,10000,3,1000415,100.1993,0.58984375
quick,random,10000,3,1000415,42.9054,1.2265625
python,random,10000,3,1000415,9.5439,156.140625
merge,reverse,10000,3,1000415,38.4373,79.26953125
heap,reverse,10000,3,1000415,62.2774,0.58984375
quick,reverse,10000,3,1000415,37.2029,1.46875
python,reverse,10000,3,1000415,2.8316,156.25
merge,sorted,10000,4,1000416,24.1115,79.26953125
heap,sorted,10000,4,1000416,47.2346,0.58984375
quick,sorted,10000,4,1000416,19.919,1.46875
python,sorted,10000,4,1000416,1.8349,78.125
merge,random,10000,4,1000416,29.7807,79.26953125
heap,random,10000,4,1000416,45.7535,0.58984375
quick,random,10000,4,1000416,23.5715,1.171875
python,random,10000,4,1000416,6.1438,156.1875
merge,reverse,10000,4,1000416,25.0848,79.26953125
heap,reverse,10000,4,1000416,47.1251,0.58984375
quick,reverse,10000,4,1000416,26.4598,1.46875
python,reverse,10000,4,1000416,4.1593,156.25
merge,sorted,10000,5,1000417,26.8144,79.26953125
heap,sorted,10000,5,1000417,46.7676,0.58984375
quick,sorted,10000,5,1000417,21.1522,1.46875
python,sorted,10000,5,1000417,2.163,78.125
merge,random,10000,5,1000417,34.8517,79.26953125
heap,random,10000,5,1000417,51.4327,0.58984375
quick,random,10000,5,1000417,20.1061,1.2421875
python,random,10000,5,1000417,4.9908,156.171875
merge,reverse,10000,5,1000417,22.4259,79.26953125
heap,reverse,10000,5,1000417,42.4848,0.58984375
quick,reverse,10000,5,1000417,26.1694,1.46875
python,reverse,10000,5,1000417,3.0828,156.25
merge,sorted,25000,1,2500413,70.1409,196.48828125
heap,sorted,25000,1,2500413,139.0046,0.58984375
quick,sorted,25000,1,2500413,67.1952,1.5390625
python,sorted,25000,1,2500413,7.3333,195.3125
merge,random,25000,1,2500413,95.3348,196.48828125
heap,random,25000,1,2500413,158.7401,0.58984375
quick,random,25000,1,2500413,83.6268,1.3203125
python,random,25000,1,2500413,17.6514,390.484375
merge,reverse,25000,1,2500413,75.1714,196.48828125
heap,reverse,25000,1,2500413,160.917,0.58984375
quick,reverse,25000,1,2500413,95.1959,1.46875
python,reverse,25000,1,2500413,9.591,390.546875
merge,sorted,25000,2,2500414,76.462,196.48828125
heap,sorted,25000,2,2500414,133.5444,0.58984375
quick,sorted,25000,2,2500414,63.4646,1.5390625
python,sorted,25000,2,2500414,7.2586,195.3125
merge,random,25000,2,2500414,109.4306,196.48828125
heap,random,25000,2,2500414,162.3461,0.58984375
quick,random,25000,2,2500414,82.5363,1.2265625
python,random,25000,2,2500414,17.6347,390.453125
merge,reverse,25000,2,2500414,70.2518,196.48828125
heap,reverse,25000,2,2500414,134.7153,0.58984375
quick,reverse,25000,2,2500414,79.2689,1.46875
python,reverse,25000,2,2500414,10.6388,390.546875
merge,sorted,25000,3,2500415,77.05,196.48828125
heap,sorted,25000,3,2500415,146.7354,0.58984375
quick,sorted,25000,3,2500415,71.7188,1.5390625
python,sorted,25000,3,2500415,6.203,195.3125
merge,random,25000,3,2500415,101.1673,196.48828125
heap,random,25000,3,2500415,160.5001,0.58984375
quick,random,25000,3,2500415,78.3169,1.171875
python,random,25000,3,2500415,16.7031,390.46875
merge,reverse,25000,3,2500415,75.0928,196.48828125
heap,reverse,25000,3,2500415,170.4115,0.58984375
quick,reverse,25000,3,2500415,89.0806,1.46875
python,reverse,25000,3,2500415,10.4849,390.546875
merge,sorted,25000,4,2500416,70.6521,196.48828125
heap,sorted,25000,4,2500416,144.7587,0.58984375
quick,sorted,25000,4,2500416,62.5654,1.5390625
python,sorted,25000,4,2500416,6.9962,195.3125
merge,random,25000,4,2500416,103.7148,196.48828125
heap,random,25000,4,2500416,139.2572,0.58984375
quick,random,25000,4,2500416,96.2124,1.203125
python,random,25000,4,2500416,17.629,390.453125
merge,reverse,25000,4,2500416,69.7258,196.48828125
heap,reverse,25000,4,2500416,139.2346,0.58984375
quick,reverse,25000,4,2500416,89.7387,1.46875
python,reverse,25000,4,2500416,10.3408,390.546875
merge,sorted,25000,5,2500417,66.9176,196.48828125
heap,sorted,25000,5,2500417,138.5903,0.58984375
quick,sorted,25000,5,2500417,54.4659,1.5390625
python,sorted,25000,5,2500417,7.8035,195.3125
merge,random,25000,5,2500417,95.39,196.48828125
heap,random,25000,5,2500417,154.9719,0.58984375
quick,random,25000,5,2500417,65.6731,1.171875
python,random,25000,5,2500417,17.0191,390.484375
merge,reverse,25000,5,2500417,80.1849,196.48828125
heap,reverse,25000,5,2500417,137.5762,0.58984375
quick,reverse,25000,5,2500417,83.6641,1.46875
python,reverse,25000,5,2500417,12.0428,390.546875
merge,sorted,50000,1,5000413,183.2441,391.83203125
heap,sorted,50000,1,5000413,319.4196,0.58984375
quick,sorted,50000,1,5000413,162.3081,1.5234375
