algorithm,input_order,size,runs,mean_ms,median_ms,stdev_ms,mean_peak_memory_kib,max_peak_memory_kib
heap,random,1000,5,2.4638,2.3767,0.245798,0.59,0.59
heap,random,5000,5,18.84382,18.3682,1.760719,0.59,0.59
heap,random,10000,5,58.91168,49.0761,23.170243,0.59,0.59
heap,random,25000,5,155.16308,158.7401,9.299304,0.59,0.59
heap,random,50000,5,418.14898,417.4768,5.89003,0.59,0.59
heap,reverse,1000,5,2.32062,2.2359,0.209341,0.59,0.59
heap,reverse,5000,5,17.11052,16.7108,0.843893,0.59,0.59
heap,reverse,10000,5,49.58164,47.8428,7.459483,0.59,0.59
heap,reverse,25000,5,148.57092,139.2346,16.042643,0.59,0.59
heap,reverse,50000,5,350.83108,357.4031,12.314062,0.59,0.59
heap,sorted,1000,5,2.80674,2.8063,0.252386,0.59,0.59
heap,sorted,5000,5,20.3586,20.2433,0.957781,0.59,0.59
heap,sorted,10000,5,48.43158,47.2346,3.30115,0.59,0.59
heap,sorted,25000,5,140.52668,139.0046,5.274389,0.59,0.59
heap,sorted,50000,5,311.98146,309.2205,12.937953,0.59,0.59
merge,random,1000,5,2.03456,1.7056,0.53315,8.832,8.832
merge,random,5000,5,13.22846,13.1063,1.186048,40.176,40.176
merge,random,10000,5,34.57136,34.8517,3.296171,79.27,79.27
merge,random,25000,5,101.0075,101.1673,5.959015,196.488,196.488
merge,random,50000,5,253.2149,258.6603,9.728955,391.832,391.832
merge,reverse,1000,5,1.3774,1.3906,0.089297,8.832,8.832
merge,reverse,5000,5,9.77618,10.0939,0.855779,40.176,40.176
merge,reverse,10000,5,27.51338,25.0848,6.580624,79.27,79.27
merge,reverse,25000,5,74.08534,75.0928,4.274949,196.488,196.488
merge,reverse,50000,5,172.97184,161.4596,26.052566,391.832,391.832
merge,sorted,1000,5,1.31548,1.2652,0.128582,8.832,8.832
merge,sorted,5000,5,10.0446,10.205,0.60763,40.176,40.176
merge,sorted,10000,5,25.01084,24.7928,1.396533,79.27,79.27
merge,sorted,25000,5,72.24452,70.6521,4.365114,196.488,196.488
merge,sorted,50000,5,175.37896,178.926,9.31518,391.832,391.832
python,random,1000,5,0.32746,0.3106,0.034873,15.55,15.562
python,random,5000,5,2.21698,2.2123,0.308956,77.797,77.812
python,random,10000,5,6.45296,6.1438,1.840218,156.162,156.188
python,random,25000,5,17.32746,17.629,0.440219,390.469,390.484
python,random,50000,5,42.56452,41.8785,4.744994,780.875,780.906
python,reverse,1000,5,0.22698,0.2326,0.017068,15.562,15.562
python,reverse,5000,5,1.3888,1.4197,0.169837,77.812,77.812
python,reverse,10000,5,3.4099,3.0828,0.703487,156.25,156.25
python,reverse,25000,5,10.61966,10.4849,0.891594,390.547,390.547
python,reverse,50000,5,25.4424,24.7927,2.28324,781.094,781.094
python,sorted,1000,5,0.06642,0.0647,0.002849,7.812,7.812
python,sorted,5000,5,0.72854,0.7976,0.174426,39.062,39.062
python,sorted,10000,5,2.1609,2.114,0.272615,78.125,78.125
python,sorted,25000,5,7.11892,7.2586,0.589086,195.312,195.312
python,sorted,50000,5,17.54362,17.3219,1.892287,390.625,390.625
quick,random,1000,5,1.84802,1.6914,0.36399,1.016,1.086
quick,random,5000,5,10.45256,9.994,1.721303,1.166,1.203
quick,random,10000,5,27.04862,23.5715,9.082858,1.194,1.242
quick,random,25000,5,81.2731,82.5363,10.982001,1.219,1.32
quick,random,50000,5,219.18118,227.7523,15.636228,1.163,1.258
quick,reverse,1000,5,1.64568,1.4164,0.491297,1.227,1.227
quick,reverse,5000,5,10.86532,10.4861,1.297287,1.406,1.406
quick,reverse,10000,5,29.52822,28.2894,4.503674,1.469,1.469
quick,reverse,25000,5,87.38964,89.0806,6.106169,1.469,1.469
quick,reverse,50000,5,215.35806,216.1528,16.495073,1.523,1.523
quick,sorted,1000,5,1.384,1.2664,0.280303,1.258,1.258
quick,sorted,5000,5,9.61876,9.4612,0.670798,1.492,1.492
quick,sorted,10000,5,21.07984,21.1522,0.899869,1.469,1.469
quick,sorted,25000,5,63.88198,63.4646,6.382854,1.539,1.539
quick,sorted,50000,5,161.71808,162.3081,6.500947,1.523,1.523
